ExtFP847	PubchemFP344	PubchemFP332	MACCSFP165	PubchemFP582	PubchemFP179	SubFP295	ExtFP639	SubFP302	PubchemFP516	AD2D313	AD2D391	ExtFP919	ExtFP607	AD2D469	ExtFP227	ExtFP468	ExtFP326	EStateFP35	AD2D241	AD2D236	PubchemFP341	PubchemFP38	PubchemFP712	MACCSFP149	PubchemFP697	KRFP3640	MACCSFP143	ExtFP545	ExtFP718	ExtFP269	MACCSFP124	ExtFP753	ExtFP658	ExtFP928	ExtFP794	PubchemFP542	ExtFP606	AD2D219	MACCSFP153	AD2D297	ExtFP782	ExtFP968	PubchemFP2	AD2D471	ExtFP76	ExtFP492	PubchemFP405	SubFP2	KRFP3692	ExtFP566	ExtFP763	MACCSFP141	ExtFP28	ExtFP649	ExtFP974	ExtFP956	PubchemFP15	ExtFP921	PubchemFP39	ExtFP63	ExtFP788	AD2D475	PubchemFP365	AD2D267	ExtFP836	MACCSFP119	ExtFP171	ExtFP106	ExtFP127	AD2D392	ExtFP143	ExtFP232	ExtFP604	ExtFP391	PubchemFP12	ExtFP516	ExtFP697	ExtFP701	ExtFP955	KRFP1564	ExtFP431	ExtFP1016	PubchemFP656	AD2D558	ExtFP131	ExtFP941	ExtFP365	ExtFP656	ExtFP707	KRFP1146	ExtFP196	ExtFP602	ExtFP683	ExtFP189	KRFP2667	KRFP3659	KRFP3852	ExtFP750	PubchemFP345	AD2D316	ExtFP437	ExtFP696	PubchemFP192	ExtFP582	PubchemFP806	ExtFP472	ExtFP567	PubchemFP256	ExtFP2	ExtFP118	ExtFP486	ExtFP53	ExtFP102	ExtFP504	ExtFP252	ExtFP355	ExtFP638	PubchemFP440	ExtFP340	ExtFP429	ExtFP635	PubchemFP181	SubFP28	SubFP137	KRFP3719	ExtFP138	ExtFP803	ExtFP17	ExtFP284	PubchemFP259	ExtFP197	ExtFP295	ExtFP978	KRFP4729	ExtFP165	ExtFP214	ExtFP277	ExtFP796	ExtFP90	ExtFP135	EStateFP49	ExtFP130	ExtFP378	PubchemFP146	SubFP4	ExtFP341	ExtFP395	MACCSFP80	SubFP5	AD2D418	ExtFP218	ExtFP220	ExtFP221	ExtFP251	ExtFP943	ExtFP156	ExtFP622	ExtFP651	ExtFP881	KRFP3150	ExtFP82	ExtFP103	ExtFP307	ExtFP405	ExtFP419	ExtFP443	ExtFP466	ExtFP760	ExtFP816	MACCSFP111	ExtFP328	ExtFP547	ExtFP588	ExtFP710	ExtFP743	ExtFP906	ExtFP959	KRFP1932	AD2D448	ExtFP230	ExtFP323	ExtFP678	MACCSFP75	PubchemFP777	ExtFP125	ExtFP507	ExtFP559	PubchemFP180	AD2D91	AD2D636	ExtFP496	ExtFP824	MACCSFP90	PubchemFP713	KRFP1787	KRFP3701	AD2D179	ExtFP142	ExtFP376	MW	LogBCF	Tr_1_Tst_0	ChemID	CAS	Name
1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	354.48626	4.29	1	100001	50-29-3	100001
1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.01146	0.26	1	100002	50-30-6	100002
1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.45652	0.54	1	100003	50-31-7	100003
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184.10636	0.57	1	100004	51-28-5	100004
1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	278.328062	2.52	1	100006	55-38-9	100006
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.8227	0.87	1	100007	56-23-5	100007
1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291.260622	1.99	1	100008	56-38-2	100008
1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.45678	0.23	1	100011	57-15-8	100011
1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	409.77864	4.353333333	1	100012	"57-74-9, 5103-71-9, 12789-03-6"	100012
1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	290.82984	3.04	1	100013	"58-89-9, 319-84-6, 319-85-7, 319-86-8, 608-73-1"	100013
